Provincia de Misiones,Provincia,Misiones,IGN,54,MI,AR-N
Provincia de San Luis,Provincia,San Luis,IGN,74,SL,AR-D
Provincia de San Juan,Provincia,San Juan,IGN,70,SJ,AR-J
Provincia de Entre Ríos,Provincia,Entre Ríos,IGN,30,ER,AR-E
Provincia de Santa Cruz,Provincia,Santa Cruz,IGN,78,SC,AR-Z
Provincia de Río Negro,Provincia,Río Negro,IGN,62,RN,AR-R
Provincia del Chubut,Provincia,Chubut,IGN,26,CT,AR-U
Provincia de Córdoba,Provincia,Córdoba,IGN,14,CB,AR-X
Provincia de Mendoza,Provincia,Mendoza,IGN,50,MZ,AR-M
Provincia de La Rioja,Provincia,La Rioja,IGN,46,LR,AR-F
Provincia de Catamarca,Provincia,Catamarca,IGN,10,CA,AR-K
Provincia de La Pampa,Provincia,La Pampa,IGN,42,LP,AR-L
Provincia de Santiago del Estero,Provincia,Santiago del Estero,IGN,86,SE,AR-G
Provincia de Corrientes,Provincia,Corrientes,IGN,18,CR,AR-W
Provincia de Santa Fe,Provincia,Santa Fe,IGN,82,SF,AR-S
Provincia de Tucumán,Provincia,Tucumán,IGN,90,TU,AR-T
Provincia del Neuquén,Provincia,Neuquén,IGN,58,NQ,AR-Q
Provincia de Salta,Provincia,Salta,IGN,66,SA,AR-A
Provincia del Chaco,Provincia,Chaco,IGN,22,CH,AR-H
Provincia de Formosa,Provincia,Formosa,IGN,34,FO,AR-P
Provincia de Jujuy,Provincia,Jujuy,IGN,38,JY,AR-Y
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma,Ciudad Autónoma de Buenos Aires,IGN,2,CABA,AR-C
Provincia de Buenos Aires,Provincia,Buenos Aires,IGN,6,BA,AR-B
Provincia de Tierra-del-Fuego Antártida e Islas-del-Atlántico-Sur,Provincia,Tierra del Fuego,IGN,94,TF,AR-V

1997,Tierra del Fuego,23,0,1,124,0
1997,Tucumán,0,0,0,1321,0
1998,Buenos Aires,401,1427,1723,35409,10
1998,Catamarca,500,0,0,1600,0
1998,Chaco,0,0,0,14726,0
1998,Chubut,4045,132,742,2753,0
1998,Córdoba,8817,4,9503,2180,0
1998,Corrientes,0,0,152,163,0
1998,Entre Ríos,8,312,0,141,0
1998,Formosa,0,0,0,711,0
1998,Jujuy,449,45,5,0,0
1998,La Pampa,137265,0,252475,0,0
1998,La Rioja,1802,0,0,19210,0
1998,Mendoza,12403,0,9433,89624,0
1998,Misiones,286,1246,1708,2204,70
1998,Neuquén,68,7,15,12303,0
1998,Río Negro,9384,505,9095,63715,0
1998,Salta,14024,105,3100,5813,0
1998,San Juan,0,1,45,218,0
1998,San Luis,87015,0,24189,35433,0
1998,Santa Cruz,0,0,25,3458,0
1998,Santa Fe,0,0,37,498,0
1998,Santiago del Estero,940,0,639,1130,0
1998,Tierra del Fuego,53,0,0,480,0
1999,Buenos Aires,1028,2899,3166,34482,0
1999,Catamarca,0,0,0,1300,0
1999,Chaco,406,0,150,8825,0
1999,Chubut,8904,9,3388,15136,0
1999,Córdoba,22306,65,0,37562,0
1999,Corrientes,12,2523,10,5631,0
1999,Entre Ríos,7118,9710,0,3409,0
1999,Formosa,0,0,262,5978,0
1999,Jujuy,43,17,42,227,0
1999,La Pampa,34830,0,42440,0,0
1999,La Rioja,3,0,4000,63022,0
1999,Mendoza,26247,945,25436,14612,0
1999,Misiones,1476,948,490,761,0
1999,Neuquén,323,27,4647,123760,0
1999,Río Negro,10871,1167,4585,42762,0
1999,Salta,5865,70,2190,6710,0
1999,San Juan,0,0,147,937,0
1999,San Luis,34729,0,44416,8012,0
1999,Santa Cruz,16,120,6086,12875,0
1999,Santa Fe,44,1,10,309,0
1999,Santiago del Estero,300,0,400,500,0
1999,Tierra del Fuego,89,0,0,125,0
1999,Tucumán,0,10,5,2803,0
2000,Buenos Aires,1116,399,1902,14511,0
2000,Catamarca,27000,4,26034,24195,0
2000,Chaco,169,30,107,2333,0
2000,Chubut,27,16,42,49,0
2000,Ciudad Autónoma de Buenos Aires,2,1,2,28,0
2000,Córdoba,20638,1198,32677,35407,0
2000,Corrientes,12,3169,564,2270,0
2000,Entre Ríos,646,203,145,181,0
2000,Formosa,0,0,64,668,0
2000,Jujuy,18,400,109,640,0
2000,La Pampa,290154,0,1099828,22000,0
2000,La Rioja,10880,45,11908,29345,0
2000,Mendoza,385779,507,71184,152364,0
2000,Misiones,161,462,1256,1983,0
2000,Neuquén,0,0,10,15171,0
2000,Río Negro,27619,1374,17144,109616,0
2000,Salta,15533,2128,4469,8663,0
2000,San Juan,0,0,7,797,0
2000,San Luis,149100,0,118456,32000,0
2000,Santa Cruz,122,0,1579,5677,0
2000,Santa Fe,128,118,354,1489,0
2000,Santiago del Estero,2730,4,832,1166,0
2000,Tierra del Fuego,22,0,0,0,0
2000,Tucumán,11800,0,0,4000,0
2001,Buenos Aires,19998,731,16431,38411,0
2001,Catamarca,0,0,107,1809,0
2001,Chaco,55,151,576,5508,0
2001,Chubut,4425,837,570,53,0
2001,Ciudad Autónoma de Buenos Aires,0,0,0,16,0
2001,Córdoba,19234,313,5334,58292,0
2001,Corrientes,762,494,2,1566,0
2001,Entre Ríos,67,199,79,136,0
2001,Formosa,0,0,502,5094,0
2001,Jujuy,0,35,25,75,0
2001,La Pampa,579124,0,2334693,0,0
2001,La Rioja,7400,0,40,57598,0
2001,Mendoza,241056,497,107521,71266,0
2001,Misiones,156,114,746,1908,0
2001,Neuquén,0,0,13,22539,0
2001,Río Negro,35393,16327,352575,533749,0
2001,Salta,11442,438,11864,23867,0
2001,San Juan,1,0,44,530,0
2001,San Luis,54655,0,19250,16200,0
2001,Santa Cruz,501,0,1136,3069,0
2001,Santa Fe,7,8,78,2307,0
2001,Santiago del Estero,1140,0,19,223,0
2001,Tierra del Fuego,57,0,0,0,0
2001,Tucumán,0,0,0,600,0
2002,Buenos Aires,31433,1331,4154,67989,0
2002,Catamarca,9097,300,2924,31204,0
2002,Chaco,1,0,44,100,0
2002,Chubut,156,17,7268,200,0
2002,Córdoba,25734,8449,28510,42080,0
2002,Corrientes,1046,735,243,2001,0
2002,Entre Ríos,236,119,31,111,0
2002,Formosa,4,0,14,9669,0
2002,Jujuy,14,54,29,43,0
2002,La Pampa,304458,0,668185,13150,0
2002,La Rioja,40447,0,0,37975,0
2002,Mendoza,90002,1500,127066,114862,0
2002,Misiones,49,198,106,223,0
2002,Neuquén,940,3,2,7496,0
2002,Río Negro,80876,2980,181769,67993,0
2002,Salta,9682,611,9596,16627,0
2002,San Juan,14,48,4,918,0
2002,San Luis,178102,10,0,0,0
2002,Santa Cruz,4022,1,593,5250,0
2002,Santa Fe,429,108,173,1835,0
2002,Santiago del Estero,5774,0,2,2242,0
2002,Tierra del Fuego,19,0,0,4,0
2002,Tucumán,85,0,34,930,0
2003,Buenos Aires,19536,1301,2750,546149,0
2003,Catamarca,6880,0,1505,2695,0
2003,Chaco,1549,44,271,15114,0
2003,Chubut,41,30,42841,1748,0
2003,Ciudad Autónoma de Buenos Aires,0,0,0,14,0
2003,Córdoba,51474,3308,1,72762,0
2003,Corrientes,1109,512,0,511,0
2003,Entre Ríos,400,323,251,409,0
2003,Formosa,402,305,194,6685,0
2003,Jujuy,20,16,65,159,0
2003,La Pampa,418363,0,412138,23420,0
2003,La Rioja,99233,2006,0,24729,0
2003,Mendoza,115423,0,225903,271062,0
2003,Misiones,5,1217,968,2192,0
2003,Neuquén,111,271,2788,14739,0
2003,Río Negro,48350,4327,220823,174744,0
2003,Salta,10660,1584,15008,27605,0
2003,San Juan,0,15,175,2468,0
2003,San Luis,217720,0,0,0,0
2003,Santa Cruz,10145,0,691,4658,0
2003,Santa Fe,1256,54,178,2934,0
2003,Santiago del Estero,1933,0,560,981,0
2003,Tierra del Fuego,0,0,0,0,0
2003,Tucumán,351,22,44,3147,0
2004,Buenos Aires,1538,1446,3039,17684,0
2004,Catamarca,1,0,249,1925,0
2004,Chaco,428,12,279,4539,0
2004,Chubut,637,268,1139,414,0
2004,Ciudad Autónoma de Buenos Aires,0,0,0,45,0
2004,Córdoba,4600,41,63,6769,0
2004,Corrientes,0,1507,0,3652,0
2004,Entre Ríos,635,1019,991,1489,0
2004,Formosa,0,0,124,1971,0
2004,Jujuy,1171,129,3145,5351,0
2004,La Pampa,17875,0,110920,110883,0
2004,La Rioja,9400,0,302,8529,0
2004,Mendoza,15766,0,21017,22976,0
2004,Misiones,15,691,521,1190,0
2004,Neuquén,422,26,4442,20489,0
2004,Río Negro,6288,631,11489,22016,0
2004,Salta,11363,2448,18605,32259,0
2004,San Juan,0,19,72,765,0
2004,Santa Cruz,142,11,864,5434,0
2004,Santa Fe,1378,4682,899,20471,0
2004,Santiago del Estero,4300,0,0,2880,0
2004,Tierra del Fuego,21,0,1,1,4
2004,Tucumán,104,8,51,806,0
2005,Buenos Aires,4171,806,1457,33364,0
2005,Catamarca,0,1,6329,24728,0
2005,Chaco,335,300,909,3599,0
2005,Chubut,999,89,993,3311,0
2005,Ciudad Autónoma de Buenos Aires,0,0,0,28,0
2005,Córdoba,3866,4118,382,8544,0
2005,Corrientes,0,3806,0,52789,0
2005,Entre Ríos,146,2173,174,221,0
2005,Formosa,0,0,120,7823,0
2005,Jujuy,850,759,566,1480,0
2005,La Pampa,58290,207,118868,136161,0
2005,La Rioja,639,0,0,41,0
2005,Mendoza,6361,0,20177,38448,0
2005,Misiones,1527,415,3719,3306,0
2005,Neuquén,214,1806,1973,18970,0
2005,Río Negro,92277,388,96019,114595,0
2005,Salta,10876,3330,17414,30158,0
2005,San Juan,0,4,230,762,0
2005,San Luis,22314,0,0,248,0
2005,Santa Cruz,57,36,2011,7295,0
2005,Santa Fe,15,177,114,1605,0
2005,Santiago del Estero,3300,0,0,4700,0
2005,Tierra del Fuego,9,0,0,8,1
2005,Tucumán,0,0,125,2826,0
2006,Buenos Aires,649,796,694,165947,0
2006,Catamarca,1,0,1792,3064,0
2006,Chaco,15944,4250,1154,16259,0
2006,Chubut,75,129,75,52,0
2006,Córdoba,23498,124,15160,22987,0
2006,Corrientes,0,7370,0,0,0
2006,Entre Ríos,345,2857,870,733,0
2006,Formosa,0,0,94,1597,0
2006,Jujuy,31,15,108,5722,0
2006,La Pampa,34170,200,56690,46330,0
2006,La Rioja,7500,0,0,178,0
2006,Mendoza,4906,396,12302,42895,0
2006,Misiones,24,849,20,2064,0
2006,Neuquén,600,223,4369,2473,0
2006,Río Negro,14222,186,61492,65891,0
2006,Salta,8060,1925,12981,18198,0
2006,San Juan,0,0,122,534,0
2006,San Luis,8440,0,0,12392,0
2006,Santa Cruz,2,2,1581,1540,0
2006,Santa Fe,100,607,75,2265,0
2006,Santiago del Estero,12300,0,0,2700,0
2006,Tierra del Fuego,0,0,0,0,0
2006,Tucumán,0,98,139,1910,0
2007,Buenos Aires,1392,1553,268,15893,0
2007,Catamarca,0,59,4746,19950,0
2007,Chaco,3559,0,373,22281,0
2007,Chubut,47,214,291,205,0
2007,Ciudad Autónoma de Buenos Aires,0,0,0,8,0
2007,Córdoba,4371,0,472,6526,0
2007,Corrientes,25,0,29,515,0
2007,Entre Ríos,80,150,97,223,0
2007,Formosa,16,4,31,3005,0
2007,Jujuy,39,546,284,629,0
2007,La Pampa,7156,500,10888,3711,0
2007,La Rioja,19,8,67,106,0
2007,Mendoza,1672,12,5169,9314,0
2007,Misiones,0,37,20,239,0
2007,Neuquén,29,23,546,555,0
