Provincia de Misiones,Provincia,Misiones,IGN,54,MI,AR-N
Provincia de San Luis,Provincia,San Luis,IGN,74,SL,AR-D
Provincia de San Juan,Provincia,San Juan,IGN,70,SJ,AR-J
Provincia de Entre Ríos,Provincia,Entre Ríos,IGN,30,ER,AR-E
Provincia de Santa Cruz,Provincia,Santa Cruz,IGN,78,SC,AR-Z
Provincia de Río Negro,Provincia,Río Negro,IGN,62,RN,AR-R
Provincia del Chubut,Provincia,Chubut,IGN,26,CT,AR-U
Provincia de Córdoba,Provincia,Córdoba,IGN,14,CB,AR-X
Provincia de Mendoza,Provincia,Mendoza,IGN,50,MZ,AR-M
Provincia de La Rioja,Provincia,La Rioja,IGN,46,LR,AR-F
Provincia de Catamarca,Provincia,Catamarca,IGN,10,CA,AR-K
Provincia de La Pampa,Provincia,La Pampa,IGN,42,LP,AR-L
Provincia de Santiago del Estero,Provincia,Santiago del Estero,IGN,86,SE,AR-G
Provincia de Corrientes,Provincia,Corrientes,IGN,18,CR,AR-W
Provincia de Santa Fe,Provincia,Santa Fe,IGN,82,SF,AR-S
Provincia de Tucumán,Provincia,Tucumán,IGN,90,TU,AR-T
Provincia del Neuquén,Provincia,Neuquén,IGN,58,NQ,AR-Q
Provincia de Salta,Provincia,Salta,IGN,66,SA,AR-A
Provincia del Chaco,Provincia,Chaco,IGN,22,CH,AR-H
Provincia de Formosa,Provincia,Formosa,IGN,34,FO,AR-P
Provincia de Jujuy,Provincia,Jujuy,IGN,38,JY,AR-Y
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma,Ciudad Autónoma de Buenos Aires,IGN,2,CABA,AR-C
Provincia de Buenos Aires,Provincia,Buenos Aires,IGN,6,BA,AR-B
Provincia de Tierra-del-Fuego Antártida e Islas-del-Atlántico-Sur,Provincia,Tierra del Fuego,IGN,94,TF,AR-V

2014,Buenos Aires,4882,533,1500,59189,0
2014,Catamarca,3,8,1097,9258,0
2014,Chaco,72,79,133,4961,0
2014,Chubut,1,2,33,112,0
2014,Ciudad Autónoma de Buenos Aires,0,0,0,0,0
2014,Córdoba,0,0,200,3996,0
2014,Corrientes,54,1018,25,543,0
2014,Entre Ríos,517,83,5,931,0
2014,Formosa,11,0,207,7603,0
2014,Jujuy,21,25,143,1259,0
2014,La Pampa,143009,17,216073,131537,0
2014,La Rioja,0,72,6,1736,0
2014,Mendoza,2810,0,11003,52344,0
2014,Misiones,32,94,211,622,0
2014,Neuquén,31,24,280,292,0
2014,Río Negro,4,4,14697,34668,0
2014,Salta,12,0,71,1532,0
2014,San Juan,0,0,16,551,0
2014,San Luis,2530,0,448,49515,0
2014,Santa Cruz,185,0,46,46,0
2014,Santa Fe,0,90,1,648,0
2014,Santiago del Estero,27,47,290,1107,0
2014,Tierra del Fuego,1,0,1,8,0
2014,Tucumán,0,0,40,80,0
2015,Buenos Aires,173,792,99,4667,0
2015,Catamarca,8,55,2524,8264,0
2015,Chaco,25,110,41,4044,0
2015,Chubut,26987,195,6601,6564,0
2015,Ciudad Autónoma de Buenos Aires,0,0,0,6,0
2015,Córdoba,720,50,0,510,0
2015,Corrientes,0,0,0,12227,0
2015,Entre Ríos,503,24,46,957,0
2015,Formosa,6,21,232,536,0
2015,Jujuy,49,45,350,1465,0
2015,La Pampa,92782,5,85110,35039,868
2015,La Rioja,0,58,26,427,0
2015,Mendoza,1026,86,5203,13473,0
2015,Misiones,0,43,84,251,0
2015,Neuquén,1,3,10239,10322,0
2015,Río Negro,47,32,37568,67461,0
2015,Salta,34,3,219,839,0
2015,San Juan,0,5,52,534,0
2015,San Luis,3555,1835,9941,17867,0
2015,Santa Cruz,1,2,64,93,0
2015,Santa Fe,127,38,73,939,0
2015,Santiago del Estero,591,5,834,545,0
2015,Tierra del Fuego,2,0,1,2,0
2015,Tucumán,0,0,26,90,0
2016,Buenos Aires,2059,404,356,56478,0
2016,Catamarca,1396,172,3873,22055,0
2016,Chaco,15,25,8,9081,0
2016,Chubut,6327,42,2517,666,0
2016,Ciudad Autónoma de Buenos Aires,0,0,0,1,0
2016,Córdoba,317,0,873,2351,0
2016,Corrientes,1400,0,0,8580,0
2016,Entre Ríos,1126,19,150,1735,0
2016,Formosa,0,0,133,482,0
2016,Jujuy,471,53,750,736,0
2016,La Pampa,157250,19,243851,214063,0
2016,La Rioja,0,0,9,325,0
2016,Mendoza,4499,885,13665,74481,0
2016,Misiones,30,14,152,2469,0
2016,Neuquén,38,11,893,37415,0
2016,Río Negro,67,12,12350,47747,0
2016,Salta,311,530,525,3300,0
2016,San Juan,0,160,1,1938,0
2016,San Luis,123,0,18344,79394,0
2016,Santa Cruz,31,0,474,531,0
2016,Santa Fe,102,87,98,820,0
2016,Santiago del Estero,34,0,782,859,0
2016,Tierra del Fuego,5,0,1,4,0
2016,Tucumán,0,0,0,90,0

6,Buenos Aires,1998,Pino,t,7338,0,0,0,0
6,Buenos Aires,1998,Acacia blanca,t,0,0,0,2287,0
6,Buenos Aires,1998,Álamo,t,200255,0,0,0,0
6,Buenos Aires,1998,Eucalipto,t,515091,139775,156223,7625,0
6,Buenos Aires,1998,Sauce,t,204514,0,0,0,0
10,Catamarca,1998,Pino,t,3410,0,0,0,0
10,Catamarca,1998,Álamo,t,13,0,0,0,0
22,Chaco,1998,Eucalipto,t,187,0,0,0,0
26,Chubut,1998,Pino,t,11359,0,509,109,617
26,Chubut,1998,Álamo,t,1415,0,300,0,0
26,Chubut,1998,Sauce,t,1,0,0,0,128
26,Chubut,1998,Otras,t,61,0,0,0,0
14,Cordoba,1998,Pino,t,90750,0,0,0,0
18,Corrientes,1998,Pino,t,112755,0,0,0,0
18,Corrientes,1998,Eucalipto,t,215531,0,0,0,0
30,Entre Rios,1998,Pino,t,24810,0,0,0,0
30,Entre Rios,1998,Sauce,t,60772,0,0,0,0
30,Entre Rios,1998,Álamo,t,23769,0,0,0,0
30,Entre Rios,1998,Eucalipto,t,457430,0,0,35782,30198
38,Jujuy,1998,Pino,t,10255,0,0,0,0
38,Jujuy,1998,Eucalipto,t,24186,4637,0,1188,0
42,La Pampa,1998,Álamo,t,10313,0,0,0,107
42,La Pampa,1998,Eucalipto,t,1400,0,7835,0,0
42,La Pampa,1998,Otras,t,0,0,350,5,0
46,La Rioja,1998,Álamo,t,80,0,0,0,0
50,Mendoza,1998,Álamo,t,83380,0,0,0,0
50,Mendoza,1998,Eucalipto,t,11,0,0,0,0
50,Mendoza,1998,Paraiso,t,16,0,0,0,0
50,Mendoza,1998,Sauce,t,2794,0,0,0,0
50,Mendoza,1998,Otras,t,6800,0,0,0,0
54,Misiones,1998,Araucaria,t,222116,0,0,0,0
54,Misiones,1998,Pino,t,2580090,0,0,0,0
54,Misiones,1998,Kiri,t,279,0,0,0,0
54,Misiones,1998,Paraiso,t,26523,0,0,0,0
54,Misiones,1998,Otras,t,1000,0,0,0,0
54,Misiones,1998,Eucalipto,t,99536,0,0,0,0
58,Neuquen,1998,Pino,t,154,0,175,1355,8
58,Neuquen,1998,Álamo,t,31703,0,34,20,0
58,Neuquen,1998,Otras,t,0,0,192,4,0
62,Rio Negro,1998,Pino,t,5131,0,132,0,849
62,Rio Negro,1998,Álamo,t,96825,0,22,0,0
70,San Juan,1998,Álamo,t,8500,0,0,0,0
82,Santa Fe,1998,Eucalipto,t,156187,0,0,0,0
90,Tucuman,1998,Pino,t,24961,0,0,0,0
90,Tucuman,1998,Álamo,t,2213,0,0,0,0
90,Tucuman,1998,Eucalipto,t,791,0,0,0,0
6,Buenos Aires,1999,Eucalipto,t,31055368,0,0,0,0
6,Buenos Aires,1999,Álamo,t,151092,0,0,0,0
6,Buenos Aires,1999,Sauce,t,151092,0,0,0,0
22,Chaco,1999,Eucalipto,t,1600,0,0,1440,0
26,Chubut,1999,Pino,t,5838,0,561,90,232
26,Chubut,1999,Álamo,t,566,0,53,0,0
26,Chubut,1999,Sauce,t,52,0,7092,5,83
14,Cordoba,1999,Pino,t,106700,0,0,160,829
18,Corrientes,1999,Pino,t,925168,0,0,20895,0
18,Corrientes,1999,Eucalipto,t,22402285,0,0,27396,8345
30,Entre Rios,1999,Pino,t,12059,0,0,0,0
30,Entre Rios,1999,Eucalipto,t,47125056,0,0,29987,27808
30,Entre Rios,1999,Sauce,t,126248,0,0,0,0
30,Entre Rios,1999,Álamo,t,84893,0,0,0,0
34,Formosa,1999,Eucalipto,t,5,0,0,0,0
34,Formosa,1999,Paraiso,t,2,0,0,0,0
38,Jujuy,1999,Pino,t,6588,0,0,0,0
38,Jujuy,1999,Eucalipto,t,7301,0,0,1065,0
42,La Pampa,1999,Eucalipto,t,2591,25,5413,0,0
42,La Pampa,1999,Otras,t,405,23,47,0,0
42,La Pampa,1999,Álamo,t,4779,0,0,0,0
46,La Rioja,1999,Álamo,t,45,0,0,0,0
50,Mendoza,1999,Álamo,t,120000,0,0,0,0
54,Misiones,1999,Pino,t,231265285,0,0,0,0
54,Misiones,1999,Araucaria,t,13025717,0,0,0,0
54,Misiones,1999,Paraiso,t,2267217,0,0,0,0
54,Misiones,1999,Otras,t,40193,0,0,0,0
54,Misiones,1999,Eucalipto,t,2404071,0,0,0,0
54,Misiones,1999,Kiri,t,74336,0,0,0,0
58,Neuquen,1999,Pino,t,0,0,0,337,0
58,Neuquen,1999,Álamo,t,22036,0,0,49,0
58,Neuquen,1999,Otras,t,35,0,0,4,0
62,Rio Negro,1999,Pino,t,1842,0,572,266,1208
62,Rio Negro,1999,Álamo,t,63372,0,272,0,0
62,Rio Negro,1999,Sauce,t,550,0,0,0,0
70,San Juan,1999,Álamo,t,9000,0,0,0,0
82,Santa Fe,1999,Eucalipto,t,144895,0,0,0,0
90,Tucuman,1999,Pino,t,25375,0,0,0,0
90,Tucuman,1999,Álamo,t,2494,0,0,0,0
90,Tucuman,1999,Eucalipto,t,2733,0,0,0,0
90,Tucuman,1999,Sauce,t,13,0,0,0,0
6,Buenos Aires,2000,Sauce,t,92476,0,0,0,0
6,Buenos Aires,2000,Eucalipto,t,288998,0,0,0,0
6,Buenos Aires,2000,Álamo,t,92476,0,0,0,0
26,Chubut,2000,Pino,t,6091,0,390,90,363
26,Chubut,2000,Ciprés,t,50,0,0,0,6
26,Chubut,2000,Álamo,t,1487,0,99,0,0
26,Chubut,2000,Sauce,t,0,0,9463,0,441
26,Chubut,2000,Otras,t,6,0,0,0,0
14,Cordoba,2000,Pino,t,70000,1500,0,1512,2672
14,Cordoba,2000,Álamo,t,8640,0,0,0,0
14,Cordoba,2000,Eucalipto,t,8560,840,7200,0,0
14,Cordoba,2000,Otras,t,0,200,1200,0,0
18,Corrientes,2000,Pino,t,112908,0,0,0,0
18,Corrientes,2000,Eucalipto,t,24723795,0,0,53666,10209
30,Entre Rios,2000,Pino,t,127639,0,0,0,0
30,Entre Rios,2000,Eucalipto,t,629346,0,0,32508,29838
30,Entre Rios,2000,Sauce,t,205493,0,0,0,0
30,Entre Rios,2000,Álamo,t,43058,0,0,0,0
38,Jujuy,2000,Pino,t,12278,0,0,0,0
38,Jujuy,2000,Eucalipto,t,14175,0,0,1611,0
42,La Pampa,2000,Álamo,t,11002,0,0,0,0
42,La Pampa,2000,Eucalipto,t,968,175,3592,0,0
42,La Pampa,2000,Otras,t,50,218,47,0,0
50,Mendoza,2000,Álamo,t,117036,0,0,0,0
54,Misiones,2000,Araucaria,t,10705382,0,0,0,0
54,Misiones,2000,Pino,t,358146645,0,0,0,0
54,Misiones,2000,Kiri,t,76799,0,0,0,0
54,Misiones,2000,Paraiso,t,16642,0,0,0,0
54,Misiones,2000,Otras,t,49432,0,0,0,0
54,Misiones,2000,Eucalipto,t,8948039,0,0,0,0
58,Neuquen,2000,Pino,t,0,0,0,337,0
58,Neuquen,2000,Álamo,t,22036,0,0,49,0
58,Neuquen,2000,Otras,t,35,0,0,4,0
62,Rio Negro,2000,Pino,t,5205,0,931,293,0
62,Rio Negro,2000,Sauce,t,550,0,820,0,0
62,Rio Negro,2000,Álamo,t,144152,0,92,0,0
70,San Juan,2000,Álamo,t,10000,0,0,0,0
82,Santa Fe,2000,Eucalipto,t,99104,0,0,0,0
90,Tucuman,2000,Pino,t,27759,0,0,0,0
90,Tucuman,2000,Álamo,t,1083,0,0,0,0
90,Tucuman,2000,Eucalipto,t,2243,0,0,0,0
90,Tucuman,2000,Sauce,t,15,0,0,0,0
6,Buenos Aires,2001,Sauce,t,154934,0,0,0,0
6,Buenos Aires,2001,Álamo,t,79814,0,0,0,0
6,Buenos Aires,2001,Eucalipto,t,107777,0,0,0,0
26,Chubut,2001,Pino,t,6452,0,1466,91,332
26,Chubut,2001,Ciprés,t,30,0,0,0,0
26,Chubut,2001,Álamo,t,1296,0,228,0,0
26,Chubut,2001,Eucalipto,t,2,0,0,0,0
26,Chubut,2001,Sauce,t,0,0,7925,1,298
26,Chubut,2001,Otras,t,4,0,0,0,3
14,Cordoba,2001,Pino,t,70000,1500,0,1512,1264
14,Cordoba,2001,Álamo,t,8640,0,0,0,0
14,Cordoba,2001,Eucalipto,t,8560,840,7200,0,0
14,Cordoba,2001,Otras,t,0,200,1200,0,0
18,Corrientes,2001,Pino,t,1810496,0,0,0,0
18,Corrientes,2001,Eucalipto,t,2964171,0,0,35729,6636
30,Entre Rios,2001,Pino,t,54000,0,0,0,0
30,Entre Rios,2001,Álamo,t,44000,0,0,0,0
30,Entre Rios,2001,Sauce,t,98644,0,0,0,0
30,Entre Rios,2001,Eucalipto,t,440000,3600,0,46500,32959
38,Jujuy,2001,Pino,t,7927,0,0,0,0
38,Jujuy,2001,Eucalipto,t,5638,0,0,265,0
42,La Pampa,2001,Álamo,t,10386,0,7,0,130
42,La Pampa,2001,Eucalipto,t,0,232,934,0,0
50,Mendoza,2001,Álamo,t,68907,0,0,0,0
54,Misiones,2001,Araucaria,t,10062752,0,0,0,0
54,Misiones,2001,Pino,t,28685112,0,0,0,0
54,Misiones,2001,Eucalipto,t,6254903,0,0,0,0
54,Misiones,2001,Kiri,t,5735,0,0,0,0
54,Misiones,2001,Paraiso,t,1502088,0,0,0,0
54,Misiones,2001,Otras,t,370421,0,0,0,0
58,Neuquen,2001,Pino,t,1167,0,5681,262,0
58,Neuquen,2001,Ciprés,t,256,0,0,17,1
58,Neuquen,2001,Álamo,t,18629,0,85,0,0
58,Neuquen,2001,Otras,t,0,0,0,5,0
62,Rio Negro,2001,Álamo,t,92340,0,21,0,0
62,Rio Negro,2001,Sauce,t,0,0,103,0,0
70,San Juan,2001,Álamo,t,12000,0,0,0,0
74,San Luis,2001,Álamo,t,223,0,0,0,0
82,Santa Fe,2001,Álamo,t,1559,0,0,0,0
82,Santa Fe,2001,Eucalipto,t,150112,0,0,0,0
90,Tucuman,2001,Pino,t,23842,0,0,0,0
90,Tucuman,2001,Álamo,t,104,0,0,0,0
90,Tucuman,2001,Eucalipto,t,1745,0,0,0,0
6,Buenos Aires,2002,Pino,t,3028,0,0,0,0
6,Buenos Aires,2002,Álamo,t,266000,0,0,0,0
6,Buenos Aires,2002,Eucalipto,t,146387,0,0,0,0
6,Buenos Aires,2002,Sauce,t,198989,0,0,0,0
26,Chubut,2002,Ciprés,t,101,0,0,3,13
26,Chubut,2002,Pino,t,8090,0,1396,69,591
26,Chubut,2002,Álamo,t,1716,0,66,0,0
26,Chubut,2002,Eucalipto,t,2,0,0,0,0
26,Chubut,2002,Sauce,t,3,0,10838,1,47
14,Cordoba,2002,Pino,t,197200,0,0,0,3368
14,Cordoba,2002,Eucalipto,t,3840,0,18570,0,0
14,Cordoba,2002,Álamo,t,10725,0,0,0,0
18,Corrientes,2002,Pino,t,228436,0,0,0,0
18,Corrientes,2002,Eucalipto,t,466591,0,0,35729,6636
30,Entre Rios,2002,Pino,t,75800,0,0,0,0
30,Entre Rios,2002,Álamo,t,34228,0,0,0,0
30,Entre Rios,2002,Sauce,t,96774,0,0,0,0
30,Entre Rios,2002,Eucalipto,t,687850,0,0,51900,3200
38,Jujuy,2002,Pino,t,13972,0,0,0,0
38,Jujuy,2002,Eucalipto,t,25321,0,0,446,0
38,Jujuy,2002,Sauce,t,45,0,0,0,0
42,La Pampa,2002,Otras,t,55,0,0,0,0
42,La Pampa,2002,Álamo,t,9368,0,6,17,0
42,La Pampa,2002,Eucalipto,t,20,167,5,0,0
50,Mendoza,2002,Álamo,t,59841,0,0,0,0
54,Misiones,2002,Araucaria,t,9779022,0,0,0,0
54,Misiones,2002,Pino,t,42367232,0,11252,30,0
54,Misiones,2002,Eucalipto,t,12019629,0,3737,0,1670
54,Misiones,2002,Kiri,t,464199,0,0,0,0
54,Misiones,2002,Paraiso,t,210623,0,365,0,0
54,Misiones,2002,Otras,t,333416,0,0,0,0
58,Neuquen,2002,Pino,t,82,0,175,1000,4
58,Neuquen,2002,Álamo,t,15732,0,764,17,0
58,Neuquen,2002,Sauce,t,100,0,0,0,0
58,Neuquen,2002,Otras,t,0,0,0,9,3
62,Rio Negro,2002,Ciprés,t,3612,0,75,230,516
62,Rio Negro,2002,Pino,t,8790,0,2801,0,596
62,Rio Negro,2002,Pino,t,5508,0,3162,43,0
62,Rio Negro,2002,Álamo,t,50844,0,0,0,0
62,Rio Negro,2002,Sauce,t,65851,0,440,0,0
82,Santa Fe,2002,Eucalipto,t,56308,0,0,11,0
82,Santa Fe,2002,Sauce,t,1589,0,0,0,0
82,Santa Fe,2002,Álamo,t,2889,0,0,0,0
90,Tucuman,2002,Pino,t,30280,0,0,0,0
90,Tucuman,2002,Álamo,t,174,0,0,0,0
90,Tucuman,2002,Eucalipto,t,2065,0,0,0,0
6,Buenos Aires,2003,Pino,t,16,0,0,0,0
6,Buenos Aires,2003,Sauce,t,298870,0,0,0,0
6,Buenos Aires,2003,Paraiso,t,221,0,0,0,0
6,Buenos Aires,2003,Álamo,t,99290,0,0,0,0
6,Buenos Aires,2003,Eucalipto,t,142946,0,0,0,0
26,Chubut,2003,Ciprés,t,12,0,5,18,178
26,Chubut,2003,Pino,t,10818,0,977,177,642
26,Chubut,2003,Álamo,t,2365,0,15,0,0
26,Chubut,2003,Sauce,t,0,0,14981,30,22
26,Chubut,2003,Otras,t,149,0,1979,24,29
14,Cordoba,2003,Pino,t,186550,0,0,0,0
14,Cordoba,2003,Álamo,t,12740,0,0,0,0
14,Cordoba,2003,Eucalipto,t,3868,0,20000,0,0
18,Corrientes,2003,Pino,t,209239,0,0,0,0
18,Corrientes,2003,Eucalipto,t,289670,0,0,318186,918
18,Corrientes,2003,Paraiso,t,82,0,0,0,0
30,Entre Rios,2003,Pino,t,31717,0,0,0,0
30,Entre Rios,2003,Eucalipto,t,412488,0,0,75588,19190
30,Entre Rios,2003,Sauce,t,104067,0,0,0,0
30,Entre Rios,2003,Álamo,t,34504,0,0,0,0
38,Jujuy,2003,Pino,t,48317,0,0,0,0
38,Jujuy,2003,Álamo,t,101,0,0,0,0
38,Jujuy,2003,Eucalipto,t,84464,0,0,1079,0
38,Jujuy,2003,Sauce,t,153,0,0,0,0
42,La Pampa,2003,Álamo,t,3900,0,42,6,0
42,La Pampa,2003,Eucalipto,t,14875,11,754,0,0
42,La Pampa,2003,Otras,t,3225,0,0,0,0
50,Mendoza,2003,Álamo,t,217521,0,0,0,0
50,Mendoza,2003,Eucalipto,t,1733,0,0,0,0
54,Misiones,2003,Pino,t,48325592,0,11964,0,0
54,Misiones,2003,Araucaria,t,16275885,0,129,0,0
54,Misiones,2003,Eucalipto,t,1132234,0,54,4,1024
54,Misiones,2003,Kiri,t,828815,0,36,0,0
54,Misiones,2003,Paraiso,t,2781473,0,140,0,0
54,Misiones,2003,Otras,t,12786,0,15,0,0
58,Neuquen,2003,Pino,t,0,0,175,1000,4
58,Neuquen,2003,Álamo,t,22214,0,764,17,0
58,Neuquen,2003,Otras,t,0,0,0,9,3
62,Rio Negro,2003,Pino,t,13967,0,4420,23,229
62,Rio Negro,2003,Álamo,t,55066,0,10,54,1113
62,Rio Negro,2003,Sauce,t,840,0,66,0,0
62,Rio Negro,2003,Otras,t,30,0,0,0,0
82,Santa Fe,2003,Eucalipto,t,104783,0,0,1,0
82,Santa Fe,2003,Sauce,t,22419,0,0,0,0
82,Santa Fe,2003,Álamo,t,28059,0,0,0,0
90,Tucuman,2003,Pino,t,42887,0,0,0,0
90,Tucuman,2003,Álamo,t,6048,0,0,0,0
90,Tucuman,2003,Eucalipto,t,1447,0,0,0,0
6,Buenos Aires,2004,Pino,t,2143,0,0,0,0
6,Buenos Aires,2004,Sauce,t,112272,0,0,0,0
6,Buenos Aires,2004,Álamo,t,66470,0,0,0,0
6,Buenos Aires,2004,Eucalipto,t,315955,0,0,0,0
26,Chubut,2004,Ciprés,t,164,79,58,22,0
26,Chubut,2004,Pino,t,13486,2467,235,700,0
26,Chubut,2004,Otras,t,21,2678,0,0,0
26,Chubut,2004,Álamo,t,3627,200,5,0,0
26,Chubut,2004,Sauce,t,0,15768,49,190,0
14,Cordoba,2004,Pino,t,234000,0,0,0,0
14,Cordoba,2004,Álamo,t,15925,0,0,0,0
14,Cordoba,2004,Eucalipto,t,6630,20000,0,0,0
18,Corrientes,2004,Pino,t,213785,0,0,0,0
18,Corrientes,2004,Eucalipto,t,497926,0,15608,1272,0
30,Entre Rios,2004,Pino,t,64217,0,829,2033,0
30,Entre Rios,2004,Eucalipto,t,477066,0,80812,26647,0
30,Entre Rios,2004,Sauce,t,134297,0,0,0,0
30,Entre Rios,2004,Álamo,t,42277,0,0,0,0
38,Jujuy,2004,Pino,t,31363,0,0,0,0
38,Jujuy,2004,Eucalipto,t,74812,0,1484,0,0
38,Jujuy,2004,Sauce,t,244,0,0,0,0
42,La Pampa,2004,Álamo,t,7095,14,0,0,0
42,La Pampa,2004,Eucalipto,t,75,75,0,0,0
42,La Pampa,2004,Otras,t,116,93,0,0,0
50,Mendoza,2004,Álamo,t,106858,0,0,0,0
50,Mendoza,2004,Eucalipto,t,4282,0,0,0,0
50,Mendoza,2004,Sauce,t,2267,0,0,0,0
54,Misiones,2004,Pino,t,4523094,10573,464,0,0
54,Misiones,2004,Araucaria,t,139688,116,51,0,0
54,Misiones,2004,Eucalipto,t,103713,30,54,80,0
54,Misiones,2004,Kiri,t,8145,24,127,0,0
54,Misiones,2004,Paraiso,t,21649,91,178,0,0
54,Misiones,2004,Otras,t,11002,40,0,0,0
58,Neuquen,2004,Ciprés,t,1247,0,0,0,0
58,Neuquen,2004,Pino,t,3063,5488,281,0,0
58,Neuquen,2004,Otras,t,417,4413,0,0,0
58,Neuquen,2004,Álamo,t,29849,120,0,0,0
58,Neuquen,2004,Sauce,t,0,746,7,0,0
62,Rio Negro,2004,Ciprés,t,4281,0,267,174,0
62,Rio Negro,2004,Pino,t,15797,2247,29,400,0
62,Rio Negro,2004,Álamo,t,57698,0,155,112,0
62,Rio Negro,2004,Sauce,t,660,0,0,0,0
82,Santa Fe,2004,Pino,t,271,0,0,0,0
82,Santa Fe,2004,Álamo,t,25270,0,0,0,0
82,Santa Fe,2004,Eucalipto,t,147858,0,330,0,0
82,Santa Fe,2004,Sauce,t,1188,0,0,0,0
90,Tucuman,2004,Pino,t,42887,0,0,0,0
90,Tucuman,2004,Álamo,t,6048,0,0,0,0
90,Tucuman,2004,Eucalipto,t,1447,0,0,0,0
6,Buenos Aires,2005,Álamo,t,120464,0,0,0,0
6,Buenos Aires,2005,Eucalipto,t,187326,0,0,0,0
6,Buenos Aires,2005,Sauce,t,399927,0,0,0,0
26,Chubut,2005,Ciprés,t,4213,0,560,210,121
26,Chubut,2005,Pino,t,8427,0,2960,24,153
26,Chubut,2005,Álamo,t,2732,0,453,0,0
26,Chubut,2005,Sauce,t,0,0,8855,27,24
14,Cordoba,2005,Pino,t,312000,0,0,36,1504
14,Cordoba,2005,Eucalipto,t,6630,0,20000,0,0
14,Cordoba,2005,Álamo,t,15925,0,0,0,0
18,Corrientes,2005,Pino,t,211343,0,0,0,0
18,Corrientes,2005,Eucalipto,t,324813,0,0,6066,1042
30,Entre Rios,2005,Pino,t,34440,0,0,0,0
30,Entre Rios,2005,Álamo,t,27274,0,0,0,0
30,Entre Rios,2005,Eucalipto,t,495746,0,0,129518,11277
30,Entre Rios,2005,Sauce,t,151158,0,0,0,0
34,Formosa,2005,Paraiso,t,9,0,0,0,0
38,Jujuy,2005,Pino,t,35246,0,0,0,0
38,Jujuy,2005,Eucalipto,t,97250,0,0,2146,0
42,La Pampa,2005,Álamo,t,9450,0,15,394,0
42,La Pampa,2005,Eucalipto,t,81,573,1027,0,0
42,La Pampa,2005,Otras,t,0,0,0,15,0
50,Mendoza,2005,Pino,t,455,0,0,0,0
50,Mendoza,2005,Álamo,t,32129,0,0,0,0
50,Mendoza,2005,Eucalipto,t,6862,0,0,0,0
50,Mendoza,2005,Sauce,t,6836,0,0,0,0
54,Misiones,2005,Araucaria,t,1486888,0,871,0,0
54,Misiones,2005,Pino,t,47451584,0,54791,0,0
54,Misiones,2005,Otras,t,349206,0,148,0,0
54,Misiones,2005,Eucalipto,t,626504,0,1607,196,144
54,Misiones,2005,Kiri,t,1034225,0,3362,0,0
54,Misiones,2005,Paraiso,t,21741,0,1431,0,0
58,Neuquen,2005,Ciprés,t,1247,0,0,0,0
58,Neuquen,2005,Pino,t,3063,0,5488,359,0
58,Neuquen,2005,Álamo,t,25067,0,120,0,0
58,Neuquen,2005,Sauce,t,350,0,746,7,0
58,Neuquen,2005,Otras,t,417,0,4413,0,0
62,Rio Negro,2005,Ciprés,t,2897,0,158,119,269
62,Rio Negro,2005,Pino,t,12850,0,2054,65,1065
62,Rio Negro,2005,Otras,t,0,0,0,39,0
62,Rio Negro,2005,Álamo,t,50712,0,27,388,160
62,Rio Negro,2005,Sauce,t,2400,0,0,0,0
82,Santa Fe,2005,Pino,t,55,0,0,0,0
82,Santa Fe,2005,Álamo,t,24355,0,0,0,0
82,Santa Fe,2005,Eucalipto,t,116237,0,1,0,0
90,Tucuman,2005,Pino,t,42887,0,0,0,0
90,Tucuman,2005,Álamo,t,6048,0,0,0,0
90,Tucuman,2005,Eucalipto,t,1447,0,0,0,0
6,Buenos Aires,2006,Eucalipto,t,14367465,0,0,2,0
6,Buenos Aires,2006,Sauce,t,4403025,0,0,0,0
6,Buenos Aires,2006,Álamo,t,774333,0,0,0,0
22,Chaco,2006,Eucalipto,t,1538,0,0,0,0
26,Chubut,2006,Ciprés,t,49,0,0,0,0
26,Chubut,2006,Pino,t,15060,0,3169,281,1962
26,Chubut,2006,Álamo,t,1935,0,443,0,13
26,Chubut,2006,Sauce,t,21,0,16995,71,205
26,Chubut,2006,Otras,t,151,0,1297,2,1
14,Cordoba,2006,Pino,t,312000,0,0,0,1152
14,Cordoba,2006,Álamo,t,15925,0,0,0,0
14,Cordoba,2006,Eucalipto,t,8619,5640,29640,0,0
18,Corrientes,2006,Pino,t,290890,0,0,0,0
18,Corrientes,2006,Eucalipto,t,334882,0,0,22531,2174
30,Entre Rios,2006,Pino,t,122960,0,0,8400,0
30,Entre Rios,2006,Eucalipto,t,620303,0,0,95102,51805
34,Formosa,2006,Eucalipto,t,1,0,0,0,0
38,Jujuy,2006,Pino,t,12311,0,0,0,0
38,Jujuy,2006,Sauce,t,171,0,0,0,0
38,Jujuy,2006,Eucalipto,t,92185,0,0,1801,0
42,La Pampa,2006,Álamo,t,12782,0,97,2397,22
42,La Pampa,2006,Eucalipto,t,568,40,128,0,0
42,La Pampa,2006,Otras,t,35,0,10,3,0
50,Mendoza,2006,Álamo,t,171888,0,0,0,0
50,Mendoza,2006,Eucalipto,t,2244,0,0,0,0
54,Misiones,2006,Araucaria,t,1561484,0,14,579,0
54,Misiones,2006,Pino,t,44008968,0,293,24986,0
54,Misiones,2006,Eucalipto,t,7721825,0,65,480,144
54,Misiones,2006,Kiri,t,860057,0,1,27,480
